"","name","code","lower","upper","all_cap","total"
"1","Afghanistan","AFG",0,0,0,0
"2","Aland Islands","ALA",0,0,0,0
"3","Albania","ALB",0,0,0,0
"4","Algeria","DZA",0,0,0,0
"5","American Samoa","ASM",0,0,0,0
"6","Andorra","AND",0,0,0,0
"7","Angola","AGO",0,0,0,0
"8","Anguilla","AIA",0,0,0,0
"9","Antarctica","ATA",0,0,0,0
"10","Antigua and Barbuda","ATG",0,0,0,0
"11","Argentina","ARG",0,0,0,0
"12","Armenia","ARM",0,0,0,0
"13","Aruba","ABW",0,0,0,0
"14","Australia","AUS",0,0,0,0
"15","Austria","AUT",0,0,0,0
"16","Austria-Hungary",NA,0,0,0,0
"17","Azerbaijan","AZE",0,0,0,0
"18","Baden",NA,0,0,0,0
"19","Bahamas","BHS",0,0,0,0
"20","Bahrain","BHR",0,0,0,0
"21","Bangladesh","BGD",0,0,0,0
"22","Barbados","BRB",0,0,0,0
"23","Bavaria",NA,0,0,0,0
"24","Belarus","BLR",0,0,0,0
"25","Belgium","BEL",0,0,0,0
"26","Belize","BLZ",0,0,0,0
"27","Benin","BEN",0,0,0,0
"28","Bermuda","BMU",0,0,0,0
"29","Bhutan","BTN",0,0,0,0
"30","Bolivia (Plurinational State of)","BOL",0,0,0,0
"31","Bonaire, Sint Eustatius and Saba","BES",0,0,0,0
"32","Bosnia and Herzegovina","BIH",0,0,0,0
"33","Botswana","BWA",0,0,0,0
"34","Bouvet Island","BVT",0,0,0,0
"35","Brazil","BRA",0,1,0,1
"36","British Indian Ocean Territory","IOT",0,0,0,0
"37","Brunei Darussalam","BRN",0,0,0,0
"38","Bulgaria","BGR",1,1,0,2
"39","Burkina Faso","BFA",0,0,0,0
"40","Burundi","BDI",0,0,0,0
"41","Cabo Verde","CPV",0,0,0,0
"42","Cambodia","KHM",0,0,0,0
"43","Cameroon","CMR",0,0,0,0
"44","Canada","CAN",0,1,0,1
"45","Cayman Islands","CYM",0,0,0,0
"46","Central African Republic","CAF",0,0,0,0
"47","Chad","TCD",0,0,0,0
"48","Chile","CHL",0,0,0,0
"49","China","CHN",1,1,0,2
"50","Christmas Island","CXR",0,0,0,0
"51","Cocos (Keeling) Islands","CCK",0,0,0,0
"52","Colombia","COL",0,0,0,0
"53","Comoros","COM",0,0,0,0
"54","Congo","COG",0,0,0,0
"55","Cook Islands","COK",0,0,0,0
"56","Costa Rica","CRI",0,0,0,0
"57","Côte D'Ivoire","CIV",0,0,0,0
"58","Croatia","HRV",0,0,0,0
"59","Cuba","CUB",4,0,0,4
"60","Curacao","CUW",0,0,0,0
"61","Cyprus","CYP",0,0,0,0
"62","Czechoslovakia","CSK",0,0,0,0
"63","Czech Republic","CZE",0,0,0,0
"64","Democratic Republic of the Congo","COD",0,0,0,0
"65","Denmark","DNK",0,1,0,1
"66","Djibouti","DJI",0,0,0,0
"67","Dominica","DMA",0,0,0,0
"68","Dominican Republic","DOM",0,0,0,0
"69","Ecuador","ECU",0,0,0,0
"70","Egypt","EGY",0,0,0,0
"71","El Salvador","SLV",0,0,0,0
"72","Equatorial Guinea","GNQ",0,0,0,0
"73","Eritrea","ERI",0,0,0,0
"74","Estonia","EST",0,0,0,0
"75","Ethiopia","ETH",0,0,0,0
"76","Falkland Islands (Malvinas)","FLK",0,0,0,0
"77","Faroe Islands","FRO",0,0,0,0
"78","Federal Republic of Germany",NA,0,0,0,0
"79","Fiji","FJI",0,0,0,0
"80","Finland","FIN",0,0,0,0
"81","France","FRA",1,2,0,3
"82","French Guiana","GUF",0,0,0,0
"83","French Polynesia","PYF",0,0,0,0
"84","French Southern Territories","ATF",0,0,0,0
"85","Gabon","GAB",0,0,0,0
"86","Gambia (Islamic Republic of the)","GMB",0,0,0,0
"87","Georgia","GEO",0,0,0,0
"88","German Democratic Republic","DDR",0,0,0,0
"89","Germany","DEU",0,1,0,1
"90","Ghana","GHA",0,0,0,0
"91","Gibraltar","GIB",0,0,0,0
"92","Greece","GRC",0,1,0,1
"93","Greenland","GRL",0,0,0,0
"94","Grenada","GRD",0,0,0,0
"95","Guadeloupe","GLP",0,0,0,0
"96","Guam","GUM",0,0,0,0
"97","Guatemala","GTM",0,0,0,0
"98","Guernsey","GGY",0,0,0,0
"99","Guinea","GIN",0,0,0,0
"100","Guinea Bissau","GNB",0,0,0,0
"101","Guyana","GUY",0,0,0,0
"102","Haiti","HTI",0,0,0,0
"103","Hanover",NA,0,0,0,0
"104","Heard Island and McDonald Islands","HMD",0,0,0,0
"105","Hesse Electoral",NA,0,0,0,0
"106","Hesse Grand Ducal",NA,0,0,0,0
"107","Holy See (Vatican City State)","VAT",0,0,0,0
"108","Honduras","HND",0,0,0,0
"109","Hong Kong","HKG",0,0,0,0
"110","Hungary","HUN",0,0,0,0
"111","Iceland","ISL",0,0,0,0
"112","India","IND",0,1,0,1
"113","Indonesia","IDN",0,0,0,0
"114","Iran (Islamic Republic of)","IRN",0,0,0,0
"115","Iraq","IRQ",0,0,0,0
"116","Ireland","IRL",0,1,0,1
"117","Isle of Man","IMN",0,0,0,0
"118","Israel","ISR",0,0,0,0
"119","Italy","ITA",1,1,0,2
"120","Jamaica","JAM",0,0,0,0
"121","Japan","JPN",0,0,0,0
"122","Jersey","JEY",0,0,0,0
"123","Jordan","JOR",0,0,0,0
"124","Kazakhstan","KAZ",0,0,0,0
"125","Kenya","KEN",0,0,0,0
"126","Kiribati","KIR",0,0,0,0
"127","Korea",NA,0,0,0,0
"128","Democratic People's Republic of Korea","PRK",0,0,0,0
"129","Kosovo",NA,0,1,0,1
"130","Kuwait","KWT",0,0,0,0
"131","Kyrgyzstan","KGZ",0,0,0,0
"132","Lao People's Democratic Republic","LAO",0,0,0,0
"133","Latvia","LVA",0,0,0,0
"134","Lebanon","LBN",0,0,0,0
"135","Lesotho","LSO",0,0,0,0
"136","Liberia","LBR",0,0,0,0
"137","Libya","LBY",0,0,0,0
"138","Liechtenstein","LIE",0,0,0,0
"139","Lithuania","LTU",0,0,0,0
"140","Luxembourg","LUX",0,0,0,0
"141","Macao","MAC",0,0,0,0
"142","Madagascar","MDG",0,0,0,0
"143","Malawi","MWI",0,0,0,0
"144","Malaysia","MYS",0,0,0,0
"145","Maldives","MDV",0,0,0,0
"146","Mali","MLI",81,0,0,81
"147","Malta","MLT",0,0,0,0
"148","Marshall Islands","MHL",0,0,0,0
"149","Martinique","MTQ",0,0,0,0
"150","Mauritania","MRT",0,0,0,0
"151","Mauritius","MUS",0,0,0,0
"152","Mayotte","MYT",0,0,0,0
"153","Mecklenburg Schwerin",NA,0,0,0,0
"154","Mexico","MEX",0,1,0,1
"155","Micronesia (Federated States of)","FSM",0,0,0,0
"156","Modena",NA,0,0,0,0
"157","Monaco","MCO",0,0,0,0
"158","Mongolia","MNG",0,0,0,0
"159","Montenegro","MNE",0,0,0,0
"160","Montserrat","MSR",0,0,0,0
"161","Morocco","MAR",0,0,0,0
"162","Mozambique","MOZ",0,0,0,0
"163","Myanmar","MMR",0,0,0,0
"164","Namibia","NAM",0,0,0,0
"165","Nauru","NRU",0,0,0,0
"166","Nepal","NPL",0,0,0,0
"167","Netherlands","NLD",0,0,0,0
"168","Netherlands Antilles","ANT",0,0,0,0
"169","New Caledonia","NCL",0,0,0,0
"170","New Zealand","NZL",0,0,0,0
"171","Nicaragua","NIC",0,0,0,0
"172","Niger","NER",0,0,0,0
"173","Nigeria","NGA",0,0,0,0
"174","Niue","NIU",0,0,0,0
"175","Norfolk Island","NFK",0,0,0,0
"176","Northern Mariana Islands","MNP",0,0,0,0
"177","Norway","NOR",0,0,0,0
"178","Oman","OMN",0,0,0,0
"179","Pakistan","PAK",0,0,0,0
"180","Palau","PLW",0,0,0,0
"181","Palestine, State of","PSE",0,0,0,0
"182","Panama","PAN",0,0,0,0
"183","Papua New Guinea","PNG",0,0,0,0
"184","Paraguay","PRY",0,0,0,0
"185","Parma",NA,0,0,0,0
"186","Peru","PER",1,0,0,1
"187","Philippines","PHL",0,0,0,0
"188","Pitcairn","PCN",0,0,0,0
"189","Poland","POL",0,0,0,0
"190","Portugal","PRT",0,0,0,0
"191","Puerto Rico","PRI",0,0,0,0
"192","Qatar","QAT",0,0,0,0
"193","Republic of Korea","KOR",0,0,0,0
"194","Republic of Moldova","MDA",0,0,0,0
"195","Republic of Vietnam",NA,0,0,0,0
"196","Reunion","REU",0,0,0,0
"197","Romania","ROU",0,0,0,0
"198","Russian Federation","RUS",0,0,0,0
"199","Rwanda","RWA",0,0,0,0
"200","Saint Barthelemy","BLM",0,0,0,0
"201","Saint Helena, Ascension and Tristan da Cunha","SHN",0,0,0,0
"202","Saint Kitts and Nevis","KNA",0,0,0,0
"203","Saint Lucia","LCA",0,0,0,0
"204","Saint Martin (French part)","MAF",0,0,0,0
"205","Saint Pierre and Miquelon","SPM",0,0,0,0
"206","Saint Vincent and the Grenadines","VCT",0,0,0,0
"207","Samoa","WSM",0,0,0,0
"208","San Marino","SMR",0,0,0,0
"209","Sao Tome and Principe","STP",0,0,0,0
"210","Saudi Arabia","SAU",0,0,0,0
"211","Saxony",NA,0,0,0,0
"212","Senegal","SEN",0,0,0,0
"213","Serbia","SRB",0,0,0,0
"214","Seychelles","SYC",0,0,0,0
"215","Sierra Leone","SLE",0,0,0,0
"216","Singapore","SGP",0,0,0,0
"217","Sint Maarten (Dutch part)","SXM",0,0,0,0
"218","Slovakia","SVK",0,0,0,0
"219","Slovenia","SVN",0,0,0,0
"220","Solomon Islands","SLB",0,0,0,0
"221","Somalia","SOM",0,0,0,0
"222","South Africa","ZAF",0,0,0,0
"223","South Georgia and the South Sandwich Islands","SGS",0,0,0,0
"224","South Sudan","SSD",0,0,0,0
"225","Spain","ESP",3,1,0,4
"226","Sri Lanka","LKA",0,0,0,0
"227","Sudan","SDN",0,0,0,0
"228","Suriname","SUR",0,0,0,0
"229","Svalbard and Jan Mayen","SJM",0,0,0,0
"230","Swaziland","SWZ",0,0,0,0
"231","Sweden","SWE",0,0,0,0
"232","Switzerland","CHE",0,0,0,0
"233","Syrian Arab Republic","SYR",0,0,0,0
"234","Taiwan, Province of China","TWN",0,0,0,0
"235","Tajikistan","TJK",0,0,0,0
"236","Thailand","THA",0,0,0,0
"237","The former Yugoslav Republic of Macedonia","MKD",0,0,0,0
"238","Timor-Leste","TLS",0,0,0,0
"239","Togo","TGO",0,0,0,0
"240","Tokelau","TKL",0,0,0,0
"241","Tonga","TON",0,0,0,0
"242","Trinidad and Tobago","TTO",0,0,0,0
"243","Tunisia","TUN",0,0,0,0
"244","Turkey","TUR",4,0,0,4
"245","Turkmenistan","TKM",0,0,0,0
"246","Turks and Caicos Islands","TCA",0,0,0,0
"247","Tuscany",NA,0,0,0,0
"248","Tuvalu","TUV",0,0,0,0
"249","Two Sicilies",NA,0,0,0,0
"250","Uganda","UGA",0,0,0,0
"251","Ukraine","UKR",0,1,0,1
"252","United Arab Emirates","ARE",0,0,0,0
"253","United Kingdom of Great Britain and Northern Ireland","GBR",0,0,0,0
"254","United Republic of Tanzania","TZA",0,0,0,0
"255","United States of America","USA",0,0,0,0
"256","United States Minor Outlying Islands","UMI",0,0,0,0
"257","Uruguay","URY",0,0,0,0
"258","Uzbekistan","UZB",0,0,0,0
"259","Vanuatu","VUT",0,0,0,0
"260","Venezuela, Bolivarian Republic of","VEN",0,0,0,0
"261","Viet Nam","VNM",0,0,0,0
"262","Virgin Islands, British","VGB",0,0,0,0
"263","Virgin Islands, U.S.","VIR",0,0,0,0
"264","Wallis and Futuna","WLF",0,0,0,0
"265","Western Sahara","ESH",0,0,0,0
"266","Wuerttemburg",NA,0,0,0,0
"267","Yemen","YEM",0,0,0,0
"268","Yemen Arab Republic",NA,0,0,0,0
"269","Yemen People's Republic","YMD",0,0,0,0
"270","Yugoslavia","YUG",0,0,0,0
"271","Zambia","ZMB",0,0,0,0
"272","Zanzibar","EAZ",0,0,0,0
"273","Zimbabwe","ZWE",0,0,0,0
